an,judet,emig_masc_nr,emig_fem_nr,emigranti_total_nr,emig_15_64_nr,imig_masc_nr,imig_fem_nr,imigranti_total_nr,imigranti_15_64_nr,populatie_15_64,populatie_rurala,populatie_totala,pondere_rurala,rata_emig_def,rata_imig_def,rata_emig_15_64,rata_imig_15_64,intensitate_migratie,sup_grau_ha,sup_orz_orzoaica_ha,sup_porumb_boabe_ha,sup_floarea_soarelui_ha,sup_rapita_ha,sup_soia_boabe_ha,sup_totala_cultivata_ha,pondere_grau,pondere_orz_orzoaica,pondere_porumb_boabe,pondere_floarea_soarelui,pondere_rapita,pondere_soia_boabe,prod_grau_tone,prod_orz_orzoaica_tone,prod_porumb_boabe_tone,prod_floarea_soarelui_tone,prod_rapita_tone,prod_soia_boabe_tone,yield_grau,yield_orz_orzoaica,yield_porumb_boabe,yield_floarea_soarelui,yield_rapita,yield_soia_boabe,ocupati_total_nr,ocupati_agri_nr,pondere_ocupati_agri,tractoare_nr,pluguri_nr,semanatori_mecanice_nr,masini_stropit_prafuit_mecanice_nr,combine_cereale_nr,tractoare_1000ha,pluguri_1000ha,semanatori_1000ha,masini_stropit_1000ha,combine_1000ha,z_tractoare_1000ha,z_pluguri_1000ha,z_semanatori_1000ha,z_combine_1000ha,indice_mecanizare_vechi,indice_mecanizare_nou,temperatura_medie_anuala_C,schimbare_temp_anuala_C,precipitatii_anuale_mm,schimbare_precipitatii_anuala_mm,schimbare_precipitatii_anuala_pct
2012,Alba,143,144,287,222,43,33,76,66,229739,142659,340544,41.89150301,0.842769216,0.223172336,0.966313948,0.287282525,1.065941552,13730,5511,42421,1683,454,304,64103,21.41865435,8.59710154,66.17631,2.625462147,0.708235184,0.474236775,35078,8391,83907,2516,455,188,2.554843409,1.522591181,1.97795903,1.494949495,1.002202643,0.618421053,163400,49500,30.29375765,3655,3115,1560,177,574,57.01761228,48.59366956,24.33583452,2.761181224,8.95433911,-0.137224833,0.00498649,0.728610303,0.706037203,0.325602291,0.544518607,8.933328869,0.633381371,763.6737988,64.98225392,9.300563947
2013,Alba,104,158,262,224,53,41,94,83,228148,141724,338669,41.84734948,0.773616717,0.277557143,0.981818819,0.363798938,1.05117386,16462,4788,37187,3288,1242,141,63108,26.08544083,7.586993725,58.92596818,5.210115992,1.968054763,0.223426507,58744,12916,153390,2099,2756,184,3.568460697,2.697577277,4.124828569,0.638381995,2.21900161,1.304964539,163300,47100,28.84262094,4105,3407,1560,177,597,65.04722064,53.98681625,24.71952843,2.804715725,9.459973379,-0.038677633,0.111669166,0.76457627,0.823547241,0.415278761,0.548323023,8.863475614,-0.069853255,960.1238063,196.4500075,25.72433516
2014,Alba,77,84,161,141,50,44,94,83,226300,140715,336867,41.77167844,0.477933428,0.279041877,0.623066726,0.366769775,0.756975305,16275,5102,40020,2637,2210,76,66320,24.54010856,7.693003619,60.3437877,3.976176116,3.332328106,0.114595899,69786,14388,244709,6630,4953,218,4.287926267,2.820070561,6.114667666,2.514220705,2.241176471,2.868421053,159600,45300,28.38345865,4113,3407,1560,177,598,62.01749095,51.3721351,23.52231604,2.668878166,9.016887817,-0.075861436,0.05994775,0.65235426,0.720573601,0.339253544,0.448469624,9.63422579,0.770750175,875.3168531,-84.80695328,-8.832918496
2015,Alba,84,109,193,175,61,45,106,88,223799,139592,334800,41.69414576,0.57646356,0.31660693,0.781951662,0.393209979,0.89307049,16722,4881,43053,3904,1272,319,70151,23.83715129,6.957848071,61.37189776,5.565138059,1.813231458,0.454733361,66879,13869,209365,8433,2938,568,3.999461787,2.841425937,4.862959608,2.160092213,2.309748428,1.780564263,159200,39800,25,4181,3448,1584,177,620,59.6000057,49.15111688,22.57986344,2.52312868,8.838077861,-0.105531178,0.016013442,0.564012437,0.679017943,0.288378161,0.387815019,9.352633282,-0.281592508,889.7366828,14.41982979,1.647384
2016,Alba,127,161,288,268,47,72,119,105,220597,138656,332327,41.72276102,0.866616315,0.358081047,1.214885062,0.475981088,1.224697361,16472,4844,40053,3611,1281,498,66759,24.67382675,7.255950509,59.99640498,5.409008523,1.918842403,0.745966836,68362,15345,237726,8853,3839,1461,4.150194269,3.167836499,5.935285746,2.451675436,2.99687744,2.93373494,159900,34400,21.5134459,4227,3448,1584,177,633,63.31730553,51.64846687,23.72713791,2.651327911,9.481867613,-0.059908842,0.065413912,0.671553462,0.828635489,0.376423505,0.481206107,8.720793196,-0.631840086,1121.871581,232.1348984,26.09029198
2017,Alba,121,193,314,264,65,56,121,105,217023,137272,329713,41.63378453,0.952343402,0.366985833,1.216460928,0.483819687,1.319329235,14773,4453,44816,4680,1290,1214,71226,20.74102154,6.251930475,62.92084351,6.570634319,1.811136383,1.704433774,66201,14606,268119,11830,3269,2035,4.481215731,3.280035931,5.982662442,2.527777778,2.534108527,1.676276771,162100,35000,21.59161012,4316,3448,1615,177,634,60.59584983,48.40928874,22.67430433,2.485047595,8.901243928,-0.093309205,0.001339224,0.572864957,0.693697816,0.293648198,0.363819019,8.747192383,0.026399187,816.4294184,-305.4421628,-27.22612534
2018,Alba,184,212,396,340,61,71,132,112,213437,135390,326967,41.4078485,1.211131399,0.403710466,1.592975913,0.524745007,1.614841865,16565,4568,43999,5729,2565,401,73827,22.43759058,6.1874382,59.59743725,7.760033592,3.474338657,0.543161716,76653,15073,326064,14965,6931,1677,4.627407184,3.29969352,7.41071388,2.612148717,2.70214425,4.182044888,162500,35100,21.6,4276,3448,1615,177,639,57.91918946,46.70378046,21.87546562,2.397496851,8.655369987,-0.126159797,-0.032397701,0.497984939,0.636556404,0.243995961,0.30651782,9.483492064,0.736299681,1033.067861,216.6384425,26.53486481
2019,Alba,183,191,374,316,60,78,138,119,210356,133630,324871,41.13324981,1.151226179,0.424783991,1.502215292,0.565707657,1.57601017,15483,4359,43142,7573,883,575,72015,21.49968757,6.052905645,59.90696383,10.51586475,1.226133444,0.798444768,66505,13309,252750,21723,2130,1253,4.295356197,3.053223216,5.858560104,2.868480127,2.412231031,2.179130435,163300,34800,21.31047152,4198,3459,1626,177,644,58.29341109,48.03166007,22.57862945,2.457821287,8.942581407,-0.121566983,-0.006130708,0.563896768,0.703304698,0.284875944,0.34892161,9.709572209,0.226080144,845.2239256,-187.8439354,-18.18311676
2020,Alba,117,150,267,235,30,47,77,62,207208,132538,322730,41.06776562,0.827316952,0.238589533,1.134126096,0.299216246,1.065906485,15404,4187,43494,6715,1373,852,72025,21.3870184,5.813259285,60.3873655,9.323151683,1.906282541,1.182922596,50498,10113,280910,16233,3452,1907,3.278239418,2.415333174,6.45859199,2.417423678,2.514202476,2.238262911,162800,33500,20.57739558,4165,3473,1641,181,645,57.82714335,48.21936827,22.78375564,2.513016314,8.955223881,-0.127289477,-0.002417622,0.583124495,0.706242825,0.289915055,0.390539283,9.267863746,-0.441708463,980.2670288,135.0431033,15.97719837
2021,Alba,208,236,444,372,91,78,169,132,207410,134576,323558,41.59254291,1.37224238,0.522317482,1.793549009,0.636420616,1.894559863,12566,2396,44266,7683,2407,1343,70661,17.78350151,3.390837945,62.6455895,10.87304171,3.406405231,1.900624107,61238,9199,277063,19233,6767,3398,4.873308929,3.839315526,6.259047576,2.503319016,2.811383465,2.530156366,145700,17200,11.80507893,4191,3483,1652,181,619,59.31135987,49.29168848,23.37923324,2.56152616,8.760136426,-0.109073721,0.018794111,0.638942238,0.660904256,0.302391721,0.411739382,8.353868799,-0.913994947,966.8608686,-13.40616021,-1.367602889
